course,unit,warmup_no,page,section,seq,type,content,hint,figure
cs1,1,5,w5,part1,8,figure,,w=230,"rect 90,110,150,150,silver; rect 180,180,150,150,gray"
cs1,1,5,w5,part1,9,p,Which box is on top — the lighter one or the darker one? How can you tell?,n=2,
cs1,1,5,w5,part1,10,p,You want the LIGHT box on top instead. What do you change about the order of your two Rect lines?,n=2,
cs1,1,5,w5,part2,11,p,opacity runs from 0 (invisible) to 100 (solid). What opacity would make a shape a faint 'ghost' you can still see through?,n=2,
cs1,1,6,w6,meta,0,topic,Labels and text,,
cs1,1,6,w6,meta,1,ican,I can put text on the canvas with Label.,,
cs1,1,6,w6,meta,2,ican,I can position and size a Label.,,
cs1,1,6,w6,vocab,3,vocab,Label,n=2,
cs1,1,6,w6,vocab,4,vocab,value (the text),n=2,
cs1,1,6,w6,vocab,5,vocab,size (font),n=2,
cs1,1,6,w6,vocab,6,vocab,align,n=2,
cs1,1,6,w6,part1,7,code,"Label('Score: 0', 200, 40, size=20, fill='black')",,
cs1,1,6,w6,part1,8,p,"In the Label above, which part is the text shown on screen? Which two numbers place it on the canvas?",n=2,
cs1,1,6,w6,part1,9,p,"Write a Label that shows your name, centered near the top of the canvas.",n=2,
cs1,1,6,w6,part2,10,p,"A Label is centered on its (x, y) by default. If your Label runs off the right edge, what could you change about its x?",n=2,
cs1,1,7,w7,meta,0,topic,Rotating shapes,,
cs1,1,7,w7,meta,1,ican,I can rotate a shape with rotateAngle.,,
cs1,1,7,w7,meta,2,ican,I can describe a rotation in degrees.,,
cs1,1,7,w7,vocab,3,vocab,rotateAngle,n=2,
cs1,1,7,w7,vocab,4,vocab,degrees,n=2,
cs1,1,7,w7,vocab,5,vocab,clockwise,n=2,
cs1,1,7,w7,vocab,6,vocab,centerX / centerY,n=2,
cs1,1,7,w7,part1,7,figure,,w=200,"star 200,200,80,5"
cs1,1,7,w7,part1,8,p,"rotateAngle turns a shape a number of degrees, clockwise. Add rotateAngle so the star below turns 36 degrees.",n=2,
cs1,1,7,w7,part1,9,code,"Star(200, 200, 80, 5, rotateAngle=36)",,
cs1,1,7,w7,part1,10,p,A full turn is 360 degrees. What rotateAngle brings a shape back to exactly where it started?,n=1,
cs1,1,7,w7,part2,11,p,"Rectangles rotate around their center too. In words, predict what Rect(150, 150, 200, 40, rotateAngle=90) would look like.",n=3,
cs1,1,8,w8,meta,0,topic,Putting it together: a scene,,
cs1,1,8,w8,meta,1,ican,I can read a multi-shape drawing and list its shapes.,,
cs1,1,8,w8,meta,2,ican,I can plan a small scene before I code it.,,
cs1,1,8,w8,vocab,3,vocab,composition,n=2,
cs1,1,8,w8,vocab,4,vocab,comment (#),n=2,
cs1,1,8,w8,vocab,5,vocab,canvas,n=2,
cs1,1,8,w8,vocab,6,vocab,plan,n=2,
cs1,1,8,w8,part1,7,p,"Read the scene below. List every shape you see, in the order you would draw them (back to front).",n=3,
cs1,1,8,w8,part1,8,figure,,w=235,"circle 200,120,50,gainsboro; rect 80,200,240,120,silver; star 200,150,25,5"
cs1,1,8,w8,part1,9,p,A comment starts with #. Write a one-line comment that explains the star in this scene.,n=1,
cs1,1,8,w8,part2,10,label,Plan your own scene.,,
cs1,1,8,w8,part2,11,p,"Sketch a simple scene — a house, a face, a robot — on the grid. Label at least three shapes with their function names (Circle, Rect, …).",n=0,
cs1,1,8,w8,part2,12,figure,,w=235,grid
cs1,2,11,w11,meta,0,topic,Color by number,,
cs1,2,11,w11,meta,1,ican,"I can build a color with rgb(r, g, b).",,
cs1,2,11,w11,meta,2,ican,I can use opacity as a number from 0 to 100.,,
cs1,2,11,w11,vocab,3,vocab,rgb,n=2,
cs1,2,11,w11,vocab,4,vocab,gradient,n=2,
cs1,2,11,w11,vocab,5,vocab,opacity (0–100),n=2,
cs1,2,11,w11,vocab,6,vocab,"channel (r, g, b)",n=2,
cs1,2,11,w11,part1,7,code,"fill = rgb(255, 140, 0)",,
cs1,2,11,w11,part1,8,p,"Each rgb channel goes 0–255. What color is rgb(0, 0, 0)? What about rgb(255, 255, 255)?",n=2,
cs1,2,11,w11,part1,9,p,A gradient blends two colors across a shape. Name two colors you would blend for a sunset.,n=1,
cs1,2,11,w11,part2,10,p,"Write an rgb() color for your favorite color, then explain what your three numbers do.",n=3,
cs1,2,12,w12,meta,0,topic,Variables,,
cs1,2,12,w12,meta,1,ican,I can create a variable and give it a value.,,
cs1,2,12,w12,meta,2,ican,I can explain what the = sign does.,,
cs1,2,12,w12,vocab,3,vocab,variable,n=2,
cs1,2,12,w12,vocab,4,vocab,assignment (=),n=2,
cs1,2,12,w12,vocab,5,vocab,value,n=2,
cs1,2,12,w12,vocab,6,vocab,name (identifier),n=2,
cs1,2,12,w12,part1,7,code,"score = 0
name = 'Robo'",,
cs1,2,12,w12,part1,8,p,"In score = 0, which side is the NAME and which side is the VALUE? What does the = actually do?",n=2,
cs1,2,12,w12,part1,9,p,Create a variable called lives and set it to 3.,n=1,
cs1,2,12,w12,part2,10,p,"After lives = 3, you run lives = lives - 1. What is lives now, and why?",n=2,
cs1,2,13,w13,meta,0,topic,Data types,,
cs1,2,13,w13,meta,1,ican,I can tell an integer from a float from a string.,,
cs1,2,13,w13,meta,2,ican,I can recognize a Boolean value.,,
cs1,2,13,w13,vocab,3,vocab,integer (int),n=2,
cs1,2,13,w13,vocab,4,vocab,float,n=2,
cs1,2,13,w13,vocab,5,vocab,string,n=2,
cs1,2,13,w13,vocab,6,vocab,Boolean,n=2,
cs1,2,13,w13,part1,7,p,"Label each value with its type — int, float, string, or Boolean:   7   ·   3.5   ·   'hello'   ·   True",n=3,
cs1,2,13,w13,part1,8,p,Why do we put quotes around a string but not around a number?,n=2,
cs1,2,13,w13,part2,9,p,The value '7' and the value 7 look alike. How are they different to the computer?,n=2,
cs1,2,14,w14,meta,0,topic,Expressions and operators,,
cs1,2,14,w14,meta,1,ican,I can evaluate an arithmetic expression.,,
cs1,2,14,w14,meta,2,ican,I can use the operators + - * / // %.,,
cs1,2,14,w14,vocab,3,vocab,expression,n=2,
cs1,2,14,w14,vocab,4,vocab,operator,n=2,
cs1,2,14,w14,vocab,5,vocab,// (integer divide),n=2,
cs1,2,14,w14,vocab,6,vocab,% (remainder),n=2,
cs1,2,14,w14,part1,7,code,total = 3 * 4 + 2,,
cs1,2,14,w14,part1,8,p,Evaluate each expression:   3 * 4 + 2   ·   10 // 3   ·   10 % 3,n=3,
cs1,2,14,w14,part1,9,p,Which happens first in 3 * 4 + 2 — the * or the + ? Why?,n=2,
cs1,2,14,w14,part2,10,p,"Use % (remainder) to decide whether 17 is even or odd. What expression tells you, and what does it give?",n=2,
cs1,2,15,w15,meta,0,topic,Variables that draw,,
cs1,2,15,w15,meta,1,ican,I can use a variable to position a shape.,,
cs1,2,15,w15,meta,2,ican,I can change one variable to move several shapes.,,
cs1,2,15,w15,vocab,3,vocab,parameter,n=2,
cs1,2,15,w15,vocab,4,vocab,reuse,n=2,
cs1,2,15,w15,vocab,5,vocab,update,n=2,
cs1,2,15,w15,vocab,6,vocab,expression in a call,n=2,
cs1,2,15,w15,part1,7,code,"x = 100
Circle(x, 200, 30)
Circle(x + 120, 200, 30)",,
cs1,2,15,w15,part1,8,p,"Both circles use x. On the grid, plot them for x = 100. Then plot where they move if x becomes 180.",n=0,
cs1,2,15,w15,part1,9,figure,,w=235,grid
cs1,2,15,w15,part1,10,p,Why is using a variable for x better than typing the number twice?,n=2,
cs1,2,15,w15,part2,11,p,Add a third circle that is always 120 to the right of the second one. Write its center x using the variable x.,n=2,
cs1,2,16,w16,meta,0,topic,Naming and debugging,,
cs1,2,16,w16,meta,1,ican,I can choose clear variable names.,,
cs1,2,16,w16,meta,2,ican,I can find a simple bug in an expression.,,
cs1,2,16,w16,vocab,3,vocab,identifier,n=2,
cs1,2,16,w16,vocab,4,vocab,readability,n=2,
cs1,2,16,w16,vocab,5,vocab,debugging,n=2,
cs1,2,16,w16,vocab,6,vocab,comment (#),n=2,
cs1,2,16,w16,part1,7,p,Which name is clearer for a player's score — s or score? Why does it matter once the program gets long?,n=2,
cs1,2,16,w16,part1,8,code,"livs = 3
lives = livs - 1",,
cs1,2,16,w16,part1,9,p,This code has a typo bug. Find it and write the corrected two lines.,n=2,
cs1,2,16,w16,part2,10,p,Add a comment (#) that explains what lives = lives - 1 does in a game.,n=2,
cs0,9,99,w99,meta,0,topic,Test bench,,
cs0,9,99,w99,meta,1,ican,I can render every item type,,
cs0,9,99,w99,meta,2,ican,I can spot a regression,,
cs0,9,99,w99,meta,3,reflect,Battleship was,,
cs0,9,99,w99,meta,4,checkin,Check-in — battery: my mental battery is at about ____ % because,,
cs0,9,99,w99,part1,5,p,This page has no vocabulary rows at all.,n=2,
cs0,9,99,w99,part2,6,p,Stretch prompt.,n=2,
